         31553995 function calls (31400672 primitive calls) in 37.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2971    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
      104    0.000    0.000    0.001    0.000 re.py:170(match)
        1    0.000    0.000    0.001    0.001 flinalg.py:5(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:956(_cache_bytecode)
      951    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
      181    0.001    0.000    0.001    0.000 {function Graph.add_vertices at 0x10e3ceae8}
      321    0.000    0.000    0.001    0.000 enum.py:375(__setattr__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:961(set_data)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
       44    0.000    0.000    0.001    0.000 core.py:146(get_object_signature)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:105(_write_atomic)
        1    0.000    0.000    0.001    0.001 layout.py:7(<module>)
        1    0.000    0.000    0.001    0.001 request.py:940(AbstractBasicAuthHandler)
       26    0.000    0.000    0.001    0.000 core.py:6567(__init__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _ellip_harm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6572(getdoc)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
      951    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1499(_array_str_implementation)
       53    0.000    0.000    0.000    0.000 core.py:892(__init__)
      860    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       15    0.000    0.000    0.000    0.000 arrayprint.py:463(wrapper)
        1    0.000    0.000    0.000    0.000 selectors.py:5(<module>)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 error.py:12(<module>)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.000    0.000 type_check.py:3(<module>)
      255    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       55    0.000    0.000    0.000    0.000 enum.py:833(__and__)
     1893    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      257    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1893    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:55(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       54    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      654    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 configparser.py:1224(__init__)
      631    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.000    0.000 xcb.py:9(<module>)
        4    0.000    0.000    0.000    0.000 re.py:205(split)
      767    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      679    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      141    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
       33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      117    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1101(_recalculate)
      347    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
        2    0.000    0.000    0.000    0.000 configparser.py:600(__init__)
      498    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       10    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
      320    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      114    0.000    0.000    0.000    0.000 enum.py:525(__new__)
        5    0.000    0.000    0.000    0.000 colors.py:235(__init__)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.000    0.000 os.py:1003(close)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
     1252    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 request.py:2456(getproxies_environment)
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:124(__prepare__)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
